Start (s),End (s),Type
644.143397,648.538231,large hump
644.143397,650.503803,force
647.643397,649.597538,B38
648.538231,650.503803,small hump
650.616322,656.666322,large hump
650.616322,658.971288,force
656.193397,657.935232,B38
656.666322,658.971288,small hump
659.05521,665.30521,large hump
659.05521,666.903297,force
664.043397,664.10744,B38
664.108975,664.138342,B38
664.144687,666.353991,B38
665.30521,666.903297,small hump
666.95521,672.027937,large hump
666.95521,673.789538,force
670.7684,673.53643,B38
672.027937,673.789538,small hump
673.80521,678.005407,large hump
673.80521,680.016616,force
677.1684,679.574081,B38
678.005407,680.016616,small hump
680.05521,684.822274,large hump
680.05521,686.849105,force
683.8834,686.272317,B38
684.822274,686.849105,small hump
686.95521,691.599838,large hump
686.95521,693.749105,force
690.4284,693.454072,B38
691.599838,693.749105,small hump
693.75521,698.036202,large hump
693.75521,700.277759,force
697.232331,700.003501,B38
698.036202,700.27776,small hump
